N,date_full,wday,REGION_NAIMENOVANIE,NOMENKLATURA_EKTU_PODGRUPPA,NOMENKLATURNAYA_GRUPPA_NAIMENOVANIE,Сумма кол-во СТиУ,Сумма выручка
82,2022-08-19,5,Рязанская область,FOOD,Бакалея,47.47149068857509,4647.756623232032
83,2022-09-19,1,Челябинская область,FOOD,Табачные изделия,8498.517584879675,2371774.1843266496
84,2022-10-01,6,Свердловская область,FOOD,Гастроном,700.3132272541579,119206.59637503742
85,2022-09-22,4,Пермский край,FOOD,БАДы,9.37627690942989,2.3878466770232016
86,2022-10-05,3,Красноярский край,FOOD,Пиво,6.855320710486621,283.83862152685145
87,2022-10-23,7,Новгородская область,NON-FOOD,Сезонные товары,46.90372060927575,29630.236106580465
88,2022-11-07,1,Рязанская область,NON-FOOD,СОЖ,154.87391749111003,70289.52483280159
89,2022-11-08,2,Республика Карелия,FOOD,Энергетические напитки,21.991075795366715,4093.7026422228223
90,2022-11-01,2,Новгородская область,NON-FOOD,Автохимия наливная на ТРК,6.6922207308381,6935.699909551174
91,2022-11-02,3,Республика Хакасия,FOOD,Энергетические напитки,73.82632690475909,15803.146835903452
92,2022-11-19,6,Ивановская область,FOOD,Бакалея,32.15920417719868,2218.41925925977
93,2022-12-29,4,Кемеровская область-Кузбасс,FOOD,Кондитерские изделия,3009.8845584247492,446187.80007640534
94,2022-12-11,7,Омская область,NON-FOOD,Уход за автомобилем,244.7025200939605,73913.12636111134
95,2023-01-02,1,Ленинградская область,NON-FOOD,Карты лояльности,31.703081154818022,9010.608009200703
96,2022-12-29,4,Орловская область,NON-FOOD,Карты лояльности,6.216634315328041,565.6201776824428
97,2023-01-18,3,Тюменская область,FOOD,Пиво,3.4075211823527276,345.72733558091227
98,2023-01-10,2,Новгородская область,FOOD,Соки и сокосодержащие напитки,74.24062531528853,10060.692521626808
99,2023-01-09,1,Липецкая область,FOOD,Снеки,13.731629454364848,1123.8302595312925
100,2023-01-11,3,Кемеровская область-Кузбасс,FOOD,Спортивные напитки,12.239042709410974,572.7806933988011
101,2023-02-05,7,Ленинградская область,FOOD,Табачные изделия,5646.993127070585,1692586.1997336305
102,2023-02-10,5,Республика Хакасия,NON-FOOD,Уход за автомобилем,17.490362906467713,5336.865963371088
103,2023-02-23,4,Тверская область,FOOD,Кондитерские изделия,851.9895019001004,160341.35555466326
104,2023-03-01,3,Новгородская область,FOOD,Энергетические напитки,450.0088934878156,87866.41342560893
105,2023-03-09,4,Краснодарский край,NON-FOOD,"Автохимия и автокосметика (кроме масел, смазок и СОЖ)",139.88621753777383,58773.965005147606
106,2023-03-04,6,Орловская область,FOOD,Табачные изделия,195.72317425199498,54389.35088538718
107,2023-03-06,1,Нижегородская область,FOOD,Бакалея,55.64679982554226,3731.7108667838606
108,2023-03-30,4,Самарская область,FOOD,"Сладкие газированные напитки, холодный чай",502.7141800272124,86120.7131513224
109,2023-03-31,5,Алтайский край,FOOD,Снеки,368.61212290689537,63518.168325902065
110,2023-03-23,4,Пермский край,NON-FOOD,Автотовары,24.38121798723697,12312.78602613372
111,2023-04-18,2,Республика Карелия,FOOD,Кондитерские изделия,94.17830528100902,13000.018045588193
112,2023-04-24,1,Костромская область,FOOD,Вода,122.14557357178677,12903.593628986991
113,2023-04-08,6,Республика Татарстан (Татарстан),CAFÉ,Общественное питание,124.62201086320083,28675.81857318798
114,2023-04-02,7,Ямало-Ненецкий автономный округ,FOOD,Кондитерские изделия,1035.5501627826172,165327.82250924522
115,2023-06-05,1,Ярославская область,NON-FOOD,Карты лояльности,25.3249717281726,5639.810802706067
116,2023-05-27,6,Пермский край,CAFÉ,Общественное питание,592.4325704905663,169413.1463406896
117,2023-06-03,6,Белгородская область,NON-FOOD,"Хозяйственные товары, персональный уход",23.878291354415165,2806.1392411842617
118,2023-05-28,7,Чувашская республика - Чувашия,FOOD,Энергетические напитки,72.10943704579005,20491.626542257098
119,2023-07-03,1,Нижегородская область,FOOD,"Сладкие газированные напитки, холодный чай",1102.180010721665,211154.54092409313
120,2023-07-04,2,Липецкая область,CAFÉ,Прочие напитки кафе,87.1763086890691,23659.415414303767
121,2023-07-06,4,Калининградская область,CAFÉ,Прочие напитки кафе,244.9474691449225,43494.473522696004
122,2023-07-04,2,Республика Карелия,FOOD,Соки и сокосодержащие напитки,11.886008940766093,1678.6989066751662
123,2023-07-28,5,Краснодарский край,NON-FOOD,Очки для водителя,37.713182816096264,69755.13079430602
